"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
85,605141,"Betts, Mookie",372,22.8,0.357,0.329,0.365,0.686,0.494,0.431,0.312,25,70,92.1,22.8,2179,88.7,88.85,7,65,20,0.20000000000000284,6.4,109,153,122,147,305,323,295,"-12.8","12.8"
83,660271,"Ohtani, Shohei",319,26,0.338,0.324,0.375,0.662,0.441,0.485,0.362,25,74,94.5,16.6,2154,88.8,88.9,12,72,11,0.10000000000000853,6.38,114,146,127,152,302,326,305,"-3","3"
79,518692,"Freeman, Freddie",324,24.4,0.299,0.104,0.365,0.403,0.361,0.365,0.272,20,67,87.5,14.9,2208,88.6,88.78,11,64,15,0.20000000000000284,6.41,118,145,124,151,294,320,301,"-1.7","1.7"
78,592518,"Machado, Manny",282,27.7,0.254,0.211,0.286,0.465,0.346,0.314,0.23,18,71,90.9,8,2129,90.5,90.59,15,68,10,0.09999999999999432,6.49,109,150,124,146,299,324,296,"0.1","-0.1"
78,630105,"Cronenworth, Jake",314,24.8,0.265,0.221,0.283,0.485,0.359,0.421,0.334,18,68,91,14.7,2116,90.2,90.4,10,67,11,0.20000000000000284,6.51,117,145,118,150,278,314,305,"-4.3","4.3"
78,663656,"Tucker, Kyle",280,27.9,0.269,0.239,0.28,0.507,0.382,0.46,0.363,18,67,92.4,20.6,2298,89.1,89.16,9,64,14,0.10000000000000853,6.48,117,144,126,151,289,331,299,"-7.9","7.9"
78,514888,"Altuve, Jose",301,25.9,0.382,0.338,0.396,0.721,0.505,0.409,0.304,26,68,89.1,21.9,2316,90.5,90.69,7,65,13,0.20000000000000284,6.52,112,153,112,148,289,327,291,"-5.9","5.9"
77,665742,"Soto, Juan",327,23.5,0.344,0.197,0.367,0.541,0.443,0.433,0.309,21,61,94,6.5,2228,89.8,90.09,7,59,18,0.29999999999999716,6.52,115,147,128,151,290,322,299,"-9.4","9.4"
77,668804,"Reynolds, Bryan",320,24.1,0.254,0.164,0.3,0.418,0.345,0.376,0.267,17,67,87.2,9.2,2168,89.8,90.07,13,65,12,0.29999999999999716,6.56,112,147,119,148,294,317,294,"-2.7","2.7"
77,665487,"Tatis Jr., Fernando",276,27.9,0.29,0.246,0.283,0.536,0.393,0.398,0.313,20,69,90.4,9.1,2140,88.5,88.72,9,67,10,0.20000000000000284,6.52,109,151,124,147,302,325,296,"-7","7"
